date;conteiner;kg;value_usd;country;english;macro_region;region;goods_type;name_en;all_country_borders_points
26.08.2019;1.0;25000;5267,92;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
26.08.2019;1.0;250000;47000;Малайзия;Malaysia;Азия;Юго-Восточная Азия;азотные;Malaysia;[5.98010916312,117.072018475]
26.08.2019;1.0;10000;2107,17;Таиланд;Thailand;Азия;Юго-Восточная Азия;азотные;Thailand;[14.1518739329,100.898116007]
26.08.2019;0.0;20815;8653,4;Сербия;Serbia;Европа;Южная Европа;калийные;Serbia;[44.2324489699,20.7914869277]
26.08.2019;0.0;2993750;562825;Чили;Chile;Америка;Южная Америка;азотные;Chile;[-52.2129243086,-73.555916175]
26.08.2019;0.0;160000;30080;Чили;Chile;Америка;Южная Америка;азотные;Chile;[-52.2129243086,-73.555916175]
26.08.2019;0.0;2998750;563765;Чили;Chile;Америка;Южная Америка;азотные;Chile;[-52.2129243086,-73.555916175]
26.08.2019;0.0;209700;50642,55;Финляндия;Finland;Европа;Северная Европа;азотные;Finland;[64.1287711419,25.7296255933]
26.08.2019;0.0;20623;8573,58;Сербия;Serbia;Европа;Южная Европа;калийные;Serbia;[44.2324489699,20.7914869277]
26.08.2019;1.0;22500;4741,13;Таиланд;Thailand;Азия;Юго-Восточная Азия;азотные;Thailand;[14.1518739329,100.898116007]
26.08.2019;1.0;634528;108220,06;Эквадор;Ecuador;Америка;Южная Америка;азотные;Ecuador;[-1.43709119709,-78.6658493612]
26.08.2019;0.0;54000;59130;Турция;Turkey;Азия;Западная Азия;сложные и комплексные;Turkey;[39.1002805086,34.874882785]
26.08.2019;1.0;423750;79665;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
26.08.2019;0.0;2174,4;505,18;Молдова, Республика;Moldova;Европа;Восточная Европа;азотные;Moldova;[47.2023352434,28.4649474852]
